date,capacity,turnover,open,high,low,close,change,transaction
2020-03-02,48021434,1323894490,27.7,27.9,27.2,27.75,-0.15,19363
2020-03-03,26979859,756202839,28.15,28.2,27.92,27.93,0.18,11004
2020-03-04,21853847,607769899,27.93,27.93,27.71,27.86,-0.07,10062
2020-03-05,13650787,383064015,28.01,28.1,28.0,28.1,0.24,5729
2020-03-06,27963318,778670023,28.01,28.01,27.75,27.88,-0.22,12838
2020-03-09,96841145,2646083430,27.49,27.52,27.17,27.25,-0.63,41851
2020-03-10,70307269,1891740596,26.8,27.26,26.76,27.25,0.0,30789
2020-03-11,38279695,1039685613,27.34,27.39,26.93,26.97,-0.28,18838
2020-03-12,155640188,4051650736,26.73,26.73,25.71,25.93,-1.04,69580
2020-03-13,157473670,3832900047,24.35,25.32,24.02,25.29,-0.64,65517
2020-03-16,92824206,2297360656,25.1,25.24,24.4,24.41,-0.88,44641
2020-03-17,103620788,2461541623,23.57,24.29,23.43,23.67,-0.74,43285
2020-03-18,80530934,1897973002,23.7,23.82,23.26,23.29,-0.38,35938
2020-03-19,137455783,3038195108,22.88,22.88,21.45,21.85,-1.44,58603
2020-03-20,88557505,2033834118,22.25,23.55,22.21,23.28,1.43,36112
2020-03-23,53865745,1213799283,22.69,22.8,22.2,22.49,-0.79,25196
2020-03-24,36966718,862933819,23.1,23.5,23.1,23.38,0.89,16262
2020-03-25,57250013,1387175462,24.11,24.35,24.01,24.09,0.71,25443
2020-03-26,33802267,815608436,24.34,24.34,23.81,24.26,0.17,14861
2020-03-27,46776958,1153124887,24.73,24.86,24.31,24.35,0.09,19572
2020-03-30,23158202,557438233,23.97,24.32,23.8,24.32,-0.03,10426
2020-03-31,20296378,497589734,24.59,24.65,24.38,24.49,0.17,9211
2020-04-01,17899482,438584753,24.49,24.58,24.41,24.52,0.03,7768
2020-04-06,23678372,584802556,24.9,24.92,24.5,24.84,0.32,11016
2020-04-07,31620054,796882951,25.12,25.29,25.12,25.22,0.38,13470
2020-04-08,41028247,1047972797,25.22,25.78,25.13,25.77,0.55,15646
2020-04-09,33849421,871980508,25.85,26.0,25.57,25.65,-0.12,15058
2020-04-10,12990586,333728278,25.65,25.75,25.6,25.73,0.08,6274
2020-04-13,16402804,421335596,25.73,25.77,25.51,25.68,-0.05,7941
2020-04-14,22847925,593001342,25.7,26.05,25.7,26.05,0.37,10295
2020-04-15,38186993,1007222642,26.2,26.48,26.19,26.47,0.42,15089
2020-04-16,20328897,536213250,26.4,26.48,26.15,26.44,-0.03,9896
2020-04-17,39596947,1057549748,26.8,27.0,26.44,26.5,0.06,17204
2020-04-20,17055801,452141733,26.5,26.61,26.38,26.6,0.1,7262
2020-04-21,34554572,906642548,26.45,26.59,26.06,26.1,-0.5,17167
2020-04-22,20875507,540502965,25.9,26.24,25.6,26.23,0.13,10124
2020-04-23,15977250,421616886,26.31,26.52,26.25,26.34,0.11,5929
2020-04-24,6231428,164023002,26.34,26.39,26.25,26.33,-0.01,3039
2020-04-27,25093073,669464667,26.68,26.81,26.5,26.79,0.46,9275
2020-04-28,17832362,479504766,26.9,26.99,26.75,26.91,0.12,7045
2020-04-29,24473149,662080939,26.96,27.11,26.96,27.07,0.16,9601
2020-04-30,35888109,982193977,27.2,27.49,27.2,27.46,0.39,13515
