date,capacity,turnover,open,high,low,close,change,transaction
2020-01-02,4882015,476649683,97.05,98.0,97.05,97.65,0.7,2421
2020-01-03,6813547,665657992,98.3,98.7,97.0,97.65,0.0,3080
2020-01-06,9321768,901060879,97.05,97.1,96.4,96.4,-1.25,4809
2020-01-07,6328602,607425541,96.45,96.7,95.4,96.1,-0.3,4116
2020-01-08,8516995,813733739,95.2,96.2,95.05,95.65,-0.45,5033
2020-01-09,7163943,693086421,96.3,97.1,96.3,96.95,1.3,3879
2020-01-10,9071925,882408791,97.5,97.8,96.95,97.3,0.35,4900
2020-01-13,6650898,650806854,97.85,98.1,97.5,98.0,0.7,2883
2020-01-14,11544956,1138704185,98.5,98.85,98.4,98.6,0.6,6403
2020-01-15,10259354,1004716001,98.7,98.7,97.45,97.6,-1.0,5316
2020-01-16,8686499,844614108,97.15,97.5,97.0,97.3,-0.3,2646
2020-01-17,8121134,791003262,97.7,97.75,97.1,97.3,0.0,2944
2020-01-20,6969945,681688026,97.55,98.0,97.55,97.7,0.4,3130
2020-01-30,32262874,3014149166,95.0,95.0,92.15,92.15,-5.55,16273
2020-01-31,22497767,2030143514,90.65,90.65,89.65,89.95,0.0,11950
2020-02-03,15823593,1401640343,88.5,89.15,87.6,89.05,-0.9,7843
2020-02-04,8904471,804708649,89.45,90.95,89.2,90.6,1.55,4851
2020-02-05,6701508,609037681,91.0,91.3,90.3,90.85,0.25,4001
2020-02-06,10696477,982277669,91.65,92.3,91.35,92.3,1.45,4113
2020-02-07,9554828,871832328,91.65,91.65,90.95,91.2,-1.1,4992
